t 1 2 3 4 jF0004 jxH0402 jyH0402 jV0300 erroc errol erro dt rep
1.0010000000e+00 0.844205 1.10802 1.10802 0.844205 0.580391 0.580391 -0.0263814 -0.237433 -12 -12 -12 -2 0
1.0110000000e+00 0.865981 1.1366 1.1366 0.865981 0.595362 0.595362 -0.0270619 -0.243557 -12 -12 -12 -2 0
1.0210000000e+00 0.899172 1.18016 1.18016 0.899172 0.618181 0.618181 -0.0280991 -0.252892 -12 -12 -12 -2 0
1.0310000000e+00 0.943534 1.23839 1.23839 0.943534 0.64868 0.64868 -0.0294854 -0.265369 -12 -12 -12 -2 0
1.0410000000e+00 0.998781 1.3109 1.3109 0.998781 0.686662 0.686662 -0.0312119 -0.280907 -12 -12 -12 -2 0
1.0510000000e+00 1.06458 1.39727 1.39727 1.06458 0.731902 0.731902 -0.0332683 -0.299414 -12 -12 -12 -2 0
1.0610000000e+00 1.14058 1.49701 1.49701 1.14058 0.784149 0.784149 -0.0356431 -0.320788 -12 -12 -12 -2 0
1.0710000000e+00 1.22637 1.60961 1.60961 1.22637 0.843128 0.843128 -0.038324 -0.344916 -12 -12 -12 -2 0
1.0810000000e+00 1.32151 1.73448 1.73448 1.32151 0.908538 0.908538 -0.0412972 -0.371674 -12 -12 -12 -2 0
1.0910000000e+00 1.42554 1.87102 1.87102 1.42554 0.980056 0.980056 -0.044548 -0.400932 -12 -12 -12 -2 0
1.1010000000e+00 1.53795 2.01856 2.01856 1.53795 1.05734 1.05734 -0.0480609 -0.432548 -12 -12 -12 -2 0
1.1110000000e+00 1.65822 2.17641 2.17641 1.65822 1.14003 1.14003 -0.0518193 -0.466374 -12 -12 -12 -2 0
1.1210000000e+00 1.78579 2.34386 2.34386 1.78579 1.22773 1.22773 -0.0558061 -0.502255 -12 -12 -12 -2 0
1.1310000000e+00 1.9201 2.52013 2.52013 1.9201 1.32007 1.32007 -0.0600031 -0.540027 -12 -12 -12 -2 0
1.1410000000e+00 2.06053 2.70445 2.70445 2.06053 1.41662 1.41662 -0.0643916 -0.579524 -12 -12 -12 -2 0
1.1510000000e+00 2.20648 2.896 2.896 2.20648 1.51695 1.51695 -0.0689525 -0.620572 -12 -12 -12 -2 0
1.1610000000e+00 2.35731 3.09397 3.09397 2.35731 1.62065 1.62065 -0.0736659 -0.662993 -12 -12 -12 -2 0
1.1710000000e+00 2.51238 3.29749 3.29749 2.51238 1.72726 1.72726 -0.0785118 -0.706606 -12 -12 -12 -2 0
1.1810000000e+00 2.67103 3.50572 3.50572 2.67103 1.83633 1.83633 -0.0834696 -0.751227 -12 -12 -12 -2 0
1.1910000000e+00 2.8326 3.71779 3.71779 2.8326 1.94741 1.94741 -0.0885187 -0.796669 -12 -12 -12 -2 0
1.2010000000e+00 2.99642 3.93281 3.93281 2.99642 2.06004 2.06004 -0.0936383 -0.842744 -12 -12 -12 -2 0
1.2110000000e+00 3.16183 4.1499 4.1499 3.16183 2.17376 2.17376 -0.0988072 -0.889265 -12 -12 -12 -2 0
1.2210000000e+00 3.32815 4.3682 4.3682 3.32815 2.28811 2.28811 -0.104005 -0.936043 -12 -12 -12 -2 0
1.2310000000e+00 3.49472 4.58682 4.58682 3.49472 2.40262 2.40262 -0.10921 -0.982891 -12 -12 -12 -2 0
1.2410000000e+00 3.66088 4.8049 4.8049 3.66088 2.51685 2.51685 -0.114402 -1.02962 -12 -12 -12 -2 0
1.2510000000e+00 3.82597 5.02158 5.02158 3.82597 2.63035 2.63035 -0.119561 -1.07605 -12 -12 -12 -2 0
1.2610000000e+00 3.98935 5.23602 5.23602 3.98935 2.74268 2.74268 -0.124667 -1.122 -12 -12 -12 -2 0
1.2710000000e+00 4.15039 5.44739 5.44739 4.15039 2.8534 2.8534 -0.1297 -1.1673 -12 -12 -12 -2 0
1.2810000000e+00 4.30849 5.65489 5.65489 4.30849 2.96209 2.96209 -0.13464 -1.21176 -12 -12 -12 -2 0
1.2910000000e+00 4.46304 5.85774 5.85774 4.46304 3.06834 3.06834 -0.13947 -1.25523 -12 -12 -12 -2 0
1.3010000000e+00 4.61347 6.05518 6.05518 4.61347 3.17176 3.17176 -0.144171 -1.29754 -12 -12 -12 -2 0
1.3110000000e+00 4.75923 6.24649 6.24649 4.75923 3.27197 3.27197 -0.148726 -1.33853 -12 -12 -12 -2 0
1.3210000000e+00 4.89978 6.43096 6.43096 4.89978 3.3686 3.3686 -0.153118 -1.37806 -12 -12 -12 -2 0
1.3310000000e+00 5.03463 6.60795 6.60795 5.03463 3.46131 3.46131 -0.157332 -1.41599 -12 -12 -12 -2 0
1.3410000000e+00 5.16329 6.77682 6.77682 5.16329 3.54976 3.54976 -0.161353 -1.45218 -12 -12 -12 -2 0
1.3510000000e+00 5.28533 6.93699 6.93699 5.28533 3.63366 3.63366 -0.165166 -1.4865 -12 -12 -12 -2 0
1.3610000000e+00 5.40031 7.08791 7.08791 5.40031 3.71272 3.71272 -0.16876 -1.51884 -12 -12 -12 -2 0
1.3710000000e+00 5.50787 7.22908 7.22908 5.50787 3.78666 3.78666 -0.172121 -1.54909 -12 -12 -12 -2 0
1.3810000000e+00 5.60765 7.36004 7.36004 5.60765 3.85526 3.85526 -0.175239 -1.57715 -12 -12 -12 -2 0
1.3910000000e+00 5.69932 7.48036 7.48036 5.69932 3.91828 3.91828 -0.178104 -1.60293 -12 -12 -12 -2 0
1.4010000000e+00 5.78262 7.58969 7.58969 5.78262 3.97555 3.97555 -0.180707 -1.62636 -12 -12 -12 -2 0
1.4110000000e+00 5.85729 7.68769 7.68769 5.85729 4.02689 4.02689 -0.18304 -1.64736 -12 -12 -12 -2 0
1.4210000000e+00 5.92313 7.7741 7.7741 5.92313 4.07215 4.07215 -0.185098 -1.66588 -12 -12 -12 -2 0
1.4310000000e+00 5.97995 7.84869 7.84869 5.97995 4.11122 4.11122 -0.186874 -1.68186 -12 -12 -12 -2 0
1.4410000000e+00 6.02764 7.91128 7.91128 6.02764 4.144 4.144 -0.188364 -1.69527 -12 -12 -12 -2 0
1.4510000000e+00 6.06609 7.96174 7.96174 6.06609 4.17043 4.17043 -0.189565 -1.70609 -12 -12 -12 -2 0
1.4610000000e+00 6.09523 7.99999 7.99999 6.09523 4.19047 4.19047 -0.190476 -1.71428 -12 -12 -12 -2 0
1.4710000000e+00 6.11505 8.02601 8.02601 6.11505 4.2041 4.2041 -0.191095 -1.71986 -12 -12 -12 -2 0
1.4810000000e+00 6.12557 8.03981 8.03981 6.12557 4.21133 4.21133 -0.191424 -1.72282 -12 -12 -12 -2 0
1.4910000000e+00 6.12683 8.04146 8.04146 6.12683 4.21219 4.21219 -0.191463 -1.72317 -12 -12 -12 -2 0
1.5010000000e+00 6.11892 8.03108 8.03108 6.11892 4.20675 4.20675 -0.191216 -1.72095 -12 -12 -12 -2 0
1.5110000000e+00 6.10196 8.00882 8.00882 6.10196 4.1951 4.1951 -0.190686 -1.71618 -12 -12 -12 -2 0
1.5210000000e+00 6.07611 7.97489 7.97489 6.07611 4.17732 4.17732 -0.189878 -1.70891 -12 -12 -12 -2 0
1.5310000000e+00 6.04156 7.92955 7.92955 6.04156 4.15357 4.15357 -0.188799 -1.69919 -12 -12 -12 -2 0
1.5410000000e+00 5.99853 7.87307 7.87307 5.99853 4.12399 4.12399 -0.187454 -1.68709 -12 -12 -12 -2 0
1.5510000000e+00 5.94728 7.80581 7.80581 5.94728 4.08876 4.08876 -0.185853 -1.67267 -12 -12 -12 -2 0
1.5610000000e+00 5.8881 7.72813 7.72813 5.8881 4.04807 4.04807 -0.184003 -1.65603 -12 -12 -12 -2 0
1.5710000000e+00 5.82129 7.64044 7.64044 5.82129 4.00214 4.00214 -0.181915 -1.63724 -12 -12 -12 -2 0
1.5810000000e+00 5.74719 7.54319 7.54319 5.74719 3.95119 3.95119 -0.1796 -1.6164 -12 -12 -12 -2 0
1.5910000000e+00 5.66618 7.43686 7.43686 5.66618 3.8955 3.8955 -0.177068 -1.59361 -12 -12 -12 -2 0
1.6010000000e+00 5.57863 7.32195 7.32195 5.57863 3.83531 3.83531 -0.174332 -1.56899 -12 -12 -12 -2 0
1.6110000000e+00 5.48496 7.19901 7.19901 5.48496 3.77091 3.77091 -0.171405 -1.54265 -12 -12 -12 -2 0
1.6210000000e+00 5.38561 7.06861 7.06861 5.38561 3.7026 3.7026 -0.1683 -1.5147 -12 -12 -12 -2 0
1.6310000000e+00 5.28101 6.93133 6.93133 5.28101 3.63069 3.63069 -0.165032 -1.48528 -12 -12 -12 -2 0
1.6410000000e+00 5.17164 6.78778 6.78778 5.17164 3.5555 3.5555 -0.161614 -1.45452 -12 -12 -12 -2 0
1.6510000000e+00 5.05798 6.63859 6.63859 5.05798 3.47736 3.47736 -0.158062 -1.42256 -12 -12 -12 -2 0
1.6610000000e+00 4.94051 6.48442 6.48442 4.94051 3.3966 3.3966 -0.154391 -1.38952 -12 -12 -12 -2 0
1.6710000000e+00 4.81974 6.32591 6.32591 4.81974 3.31357 3.31357 -0.150617 -1.35555 -12 -12 -12 -2 0
1.6810000000e+00 4.69619 6.16374 6.16374 4.69619 3.22863 3.22863 -0.146756 -1.3208 -12 -12 -12 -2 0
1.6910000000e+00 4.57035 5.99859 5.99859 4.57035 3.14212 3.14212 -0.142824 -1.28541 -12 -12 -12 -2 0
1.7010000000e+00 4.44277 5.83113 5.83113 4.44277 3.0544 3.0544 -0.138836 -1.24953 -12 -12 -12 -2 0
